month_end_date,department_id,provider_id,visit_type_id,visit_type_name,new_visit_flag,metric_label,scheduling_workflow,online_scheduled_count,online_enabled_count,online_scheduling_start_date
2024-07-31,102,PROV_0001,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,5,68,2023-01-01
2024-07-31,110,PROV_0002,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,9,107,2023-01-01
2024-07-31,108,PROV_0003,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,6,62,2023-01-01
2024-07-31,106,PROV_0004,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,6,65,2023-01-01
2024-07-31,106,PROV_0005,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,6,58,2023-01-01
2024-07-31,111,PROV_0006,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,4,54,2023-01-01
2024-07-31,102,PROV_0007,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,5,74,2023-01-01
2024-07-31,109,PROV_0008,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,3,35,2023-01-01
2024-07-31,103,PROV_0009,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,7,83,2023-01-01
2024-07-31,102,PROV_0010,VT_NEW,New Patient,1,Appt_Sched_PF,Open,5,53,2023-01-01
2024-07-31,107,PROV_0011,VT_NEW,New Patient,1,Appt_Sched_PF,Open,10,99,2023-01-01
2024-07-31,112,PROV_0012,VT_NEW,New Patient,1,Appt_Sched_PF,On My Way,6,79,2023-01-01
2024-07-31,109,PROV_0013,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,6,65,2023-01-01
2024-07-31,110,PROV_0014,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,5,52,2023-01-01
2024-07-31,109,PROV_0015,VT_NEW,New Patient,1,Appt_Sched_PF,On My Way,5,48,2023-01-01
2024-07-31,110,PROV_0016,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,3,51,2023-01-01
2024-07-31,107,PROV_0017,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,3,47,2023-01-01
2024-07-31,102,PROV_0018,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,4,41,2023-01-01
2024-07-31,111,PROV_0019,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,3,35,2023-01-01
2024-07-31,106,PROV_0020,VT_NEW,New Patient,1,Appt_Sched_PF,Open,7,80,2023-01-01
2024-07-31,107,PROV_0021,VT_NEW,New Patient,1,Appt_Sched_PF,Open,4,59,2023-01-01
2024-07-31,105,PROV_0022,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,8,94,2023-01-01
2024-07-31,103,PROV_0023,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,6,75,2023-01-01
2024-07-31,112,PROV_0024,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,4,84,2023-01-01
2024-07-31,110,PROV_0025,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,5,58,2023-01-01
2024-07-31,108,PROV_0026,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,4,39,2023-01-01
2024-07-31,105,PROV_0027,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,4,88,2023-01-01
2024-07-31,110,PROV_0028,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,11,90,2023-01-01
2024-07-31,107,PROV_0029,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,5,68,2023-01-01
2024-07-31,106,PROV_0030,VT_NEW,New Patient,1,Appt_Sched_PF,Ticket,3,48,2023-01-01
2024-07-31,106,PROV_0031,VT_NEW,New Patient,1,Appt_Sched_PF,On My Way,11,122,2023-01-01
2024-07-31,103,PROV_0032,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,13,117,2023-01-01
2024-07-31,102,PROV_0033,VT_NEW,New Patient,1,Appt_Sched_PF,Open,6,78,2023-01-01
2024-07-31,107,PROV_0034,VT_NEW,New Patient,1,Appt_Sched_PF,On My Way,3,37,2023-01-01
2024-07-31,111,PROV_0035,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,4,49,2023-01-01
2024-07-31,101,PROV_0036,VT_NEW,New Patient,1,Appt_Sched_PF,Open,4,42,2023-01-01
2024-07-31,111,PROV_0037,VT_NEW,New Patient,1,Appt_Sched_PF,Open,8,107,2023-01-01
2024-07-31,110,PROV_0038,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,4,40,2023-01-01
2024-07-31,104,PROV_0039,VT_NEW,New Patient,1,Appt_Sched_PF,Direct,3,63,2023-01-01
2024-07-31,108,PROV_0040,VT_NEW,New Patient,1,Appt_Sched_PF,Open,6,83,2023-01-01
