survey_answer_key,survey_question_key,encounter_key,provider_durable_key,numeric_response,is_answered,source_top_box_flag,valid_flag
500001,ACCESS_Q3,137660,50077,5,1,1,1
500002,ACCESS_Q2,129801,50044,4,1,0,0
500003,ACCESS_Q4,114866,50066,5,1,1,1
500004,ACCESS_Q1,119396,50065,5,1,1,1
500005,ACCESS_Q2,143808,50057,3,1,0,1
500006,ACCESS_Q3,135581,50048,5,1,1,1
500007,ACCESS_Q4,125970,50040,5,1,1,1
500008,ACCESS_Q1,125290,50038,5,1,1,1
500009,ACCESS_Q1,136124,50072,4,1,0,1
500010,ACCESS_Q1,120271,50077,5,1,1,1
500011,OTHER_Q1,130856,50028,5,1,1,1
500012,ACCESS_Q1,143916,50045,5,1,1,1
500013,ACCESS_Q2,118432,50069,5,1,1,1
500014,ACCESS_Q2,135968,50003,5,1,1,1
500015,ACCESS_Q3,128429,50027,5,1,1,1
500016,ACCESS_Q1,142026,50009,5,1,1,1
500017,ACCESS_Q4,125369,50042,5,1,1,1
500018,ACCESS_Q4,141501,50054,5,1,1,1
500019,ACCESS_Q2,130029,50072,5,1,1,1
500020,ACCESS_Q4,122328,50014,5,1,1,1
500021,ACCESS_Q4,115691,50058,5,1,1,1
500022,ACCESS_Q2,114775,50045,5,1,1,1
500023,ACCESS_Q3,140973,50038,5,1,1,1
500024,ACCESS_Q1,144193,50045,2,1,0,1
500025,ACCESS_Q4,137339,50078,4,1,0,1
500026,ACCESS_Q1,116439,50043,2,1,0,1
500027,ACCESS_Q2,119317,50059,5,1,1,1
500028,ACCESS_Q4,119057,50045,5,1,1,1
500029,ACCESS_Q4,120426,50051,4,1,0,1
500030,ACCESS_Q3,131574,50050,5,1,1,1
500031,ACCESS_Q4,134945,50031,5,1,1,1
500032,ACCESS_Q3,133775,50018,5,1,1,1
500033,OTHER_Q1,142699,50057,5,1,1,1
500034,ACCESS_Q4,120402,50001,5,1,1,1
500035,ACCESS_Q3,143425,50043,5,1,1,1
500036,ACCESS_Q3,141486,50010,4,1,0,1
500037,ACCESS_Q4,122672,50077,1,1,0,1
500038,ACCESS_Q2,139664,50057,4,1,0,1
500039,ACCESS_Q1,132948,50069,5,1,1,1
500040,ACCESS_Q4,138239,50005,5,1,1,1
500041,ACCESS_Q1,132437,50057,3,1,0,1
500042,ACCESS_Q2,116753,50027,5,1,1,1
500043,ACCESS_Q2,139557,50053,5,1,1,1
500044,ACCESS_Q2,140388,50058,3,1,0,1
500045,ACCESS_Q3,113956,50066,5,1,1,1
500046,ACCESS_Q3,133124,50011,5,1,1,1
500047,ACCESS_Q3,117011,50009,5,1,1,1
500048,ACCESS_Q3,135048,50020,4,1,0,1
500049,ACCESS_Q1,115905,50007,5,1,1,1
500050,OTHER_Q1,138124,50032,5,1,1,1
500051,ACCESS_Q4,115273,50055,5,1,1,1
500052,ACCESS_Q2,131918,50069,4,1,0,1
500053,ACCESS_Q1,125400,50078,5,1,1,1
500054,ACCESS_Q2,117562,50003,5,1,1,1
500055,ACCESS_Q2,117896,50056,5,1,1,1
500056,ACCESS_Q3,122844,50041,5,1,1,1
500057,ACCESS_Q2,144746,50069,5,1,1,1
500058,ACCESS_Q2,141470,50052,5,1,1,1
500059,ACCESS_Q1,128508,50023,4,1,0,1
500060,OTHER_Q1,135783,50037,3,1,0,1
500061,ACCESS_Q3,124633,50077,4,1,0,1
500062,ACCESS_Q2,122798,50013,5,1,1,1
500063,ACCESS_Q1,124561,50056,4,1,0,1
500064,ACCESS_Q1,124259,50055,4,1,0,1
500065,OTHER_Q1,122439,50063,5,1,1,1
500066,ACCESS_Q1,124239,50026,5,1,1,1
500067,ACCESS_Q3,125022,50031,5,1,1,1
500068,ACCESS_Q2,137903,50045,5,1,1,1
500069,ACCESS_Q3,116618,50056,5,1,1,1
500070,ACCESS_Q3,137431,50027,5,1,1,1
500071,ACCESS_Q4,139945,50018,5,1,1,1
500072,ACCESS_Q2,136625,50001,5,1,1,1
500073,ACCESS_Q1,135876,50049,5,1,1,1
500074,ACCESS_Q2,137489,50034,5,1,1,1
500075,ACCESS_Q2,140060,50045,4,1,0,1
500076,ACCESS_Q3,129793,50071,5,1,1,1
500077,ACCESS_Q2,141138,50045,5,1,1,1
500078,ACCESS_Q4,131165,50028,5,1,1,1
500079,ACCESS_Q2,126212,50074,5,1,1,1
500080,ACCESS_Q2,122232,50019,5,1,1,1
500081,ACCESS_Q3,128547,50027,5,1,1,1
500082,ACCESS_Q4,117158,50077,3,1,0,1
500083,ACCESS_Q2,140537,50036,5,1,1,1
500084,ACCESS_Q2,115591,50019,4,1,0,1
500085,ACCESS_Q4,117949,50066,4,1,0,1
500086,ACCESS_Q1,137945,50068,5,1,1,1
500087,ACCESS_Q2,133463,50066,5,1,1,1
500088,ACCESS_Q1,115027,50026,5,1,1,1
500089,ACCESS_Q2,125659,50036,5,1,1,1
500090,ACCESS_Q2,124811,50045,4,1,0,1
500091,ACCESS_Q3,127423,50010,5,1,1,1
500092,ACCESS_Q3,134233,50022,1,1,0,1
500093,OTHER_Q1,121995,50021,4,1,0,1
500094,ACCESS_Q4,123698,50030,5,1,1,1
500095,ACCESS_Q1,126996,50056,5,1,1,1
500096,ACCESS_Q2,120879,50039,5,1,1,1
500097,ACCESS_Q3,119681,50041,5,1,1,1
500098,ACCESS_Q1,113880,50040,5,1,1,1
